,Year_Reported,Account_Number,Organization,City,Country,CDP_Region,Reporting_Authority,Access,City_emissions_invent,Accounting_year,Admin_city_boundary,Invent_boundary_to_Admini_city_boundary,Primary_Protocol,Protocol_Comment,Common_Reporting_Format,Gases_Included,Direct_emissions_1,Direct_emissions_2,Indirect_emissions_1,Indirect_emissions_2,Emissions_occurring_outside_1,Emissions_occurring_outside_2,TOTAL_Scope_1,TOTAL_Scope_2,TOTAL_Scope_3,TOTAL_Scope_1_2,TOTAL_Scope_1_2_3,Change_in_emissions,Reason_for_change,Land_area_km,Population,Population_Year,City_Location,Last_update.,Scope1,Scope2,Scope3,Outside_City,long,lat,City.Location
15,2019,832838,Town of Wellfleet,Town of Wellfleet,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170701  20180630,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,12422.55,7838.23,21526.21,20314.83,41786.99,,,0,3500,2018,70031 419305,20200501T035757217,12422.55,7838.23,21526.21,0,-70.031,41.9305,-70.031 41.9305
18,2019,53829,City of Kingston ON,City of Kingston ON,Canada,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,Unknown,Unknown,CH4 CO2,0,0,0,0,0,0,1149000,0,0,0,1149000,,,0,124000,2016,,20200501T035757217,1149000,0,0,0,,,
27,2019,58531,City of Somerville MA,City of Somerville MA,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Please see Methods Memorandum attachment for full methodology,Yes,CH4 CO2 N20,0,467600,0,124237,0,26537,0,0,0,0,618374,Decreased,Change in weather conditions,0,81562,2018,710826 423934,20200501T035757217,467600,0,124237,26537,-71.0826,42.3934,-71.0826 42.3934
37,2019,43917,Sofia Municipality,Sofia Municipality,Bulgaria,Europe,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,The inventory covers the following sectors residential municipal and tertiary buildings equipment and facilities manufacturing industries and construction agriculture and forestry fugitive emissionsfrom natural gas systems road railroad and aviation transport waste management and waste water treatment For each of the sectors identified in the methodology the available data in the municipality of Sofia has been collected Additional information from a large number of private and public organizations has also been obtained The inventory covers all of the 24 districts of Sofia municipality,No,CH4 CO2 N20,0,0,0,0,0,0,2785108,0,0,5124843,2785108,Decreased,,0,1479902,2019,233219 426977,20200501T035757217,2785108,0,0,0,23.3219,42.6977,23.3219 42.6977
38,2019,74673,zmir Metropolitan Municipality,zmir Metropolitan Municipality,Turkey,Europe,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Unknown,Unknown,CH4 CO2 N20,0,21869346,0,0,0,0,0,0,0,0,21869346,,,0,4320519,2018,,20200501T035757217,21869346,0,0,0,,,
40,2019,839980,Municipalidad de Avellaneda,Municipalidad de Avellaneda,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,La metodologa utilizada es la sugerida por la Red Argentina de Municipios Contra el Cambio Climtico de la cual la ciudad de Avellaneda forma parte,Yes,CH4 CO2 N20,521.96,1531934.8,0,1446.5,0,55751.8,0,0,0,0,1589655.06,Do not know,Lack of documentation,0,30446,2019,,20200501T035757217,1532456.76,0,1446.5,55751.8,,,
44,2019,52897,City of Aspen,City of Aspen,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Larger covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,The inventory is also compliant with the guidelines that are laid out in the US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions ICLEI,No,CH4 CO2 N20,0,0,0,0,0,0,186961,82643,35715,305319,305319,Decreased,Other Electric utility generation mix changes toward renewable energy,0,9003,2017,106837 39195,20200501T035757217,186961,82643,35715,0,-106.837,39.195,-106.837 39.195
45,2019,36410,City of Memphis,City of Memphis,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Larger covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,3633345,10895757,0,6296158,0,0,0,0,0,0,20825260,Increased,Change in accounting methodology,0,650618,2018,90049 351495,20200501T035757217,14529102,0,6296158,0,-90.049,35.1495,-90.049 35.1495
46,2019,54656,Prefeitura de Vinhedo,Prefeitura de Vinhedo,Brazil,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Other,Para atender a essa necessidade a iniciativa do GHG Protocol do World Resources Institute estabeleceu parceria internacional com a rede C40 Cities Climate Leadership Group e com o ICLEI ü Governos Locais pela Sustentabilidade que tm atuado fortemente em suas redes de cidades e governos locais para promover a integrao da sustentabilidade em suas prticas e operaëes O resultado dessa parceria  a ferramenta Global Protocol for CommunityScale GHG Emissions GPCEsta metodologia tem sido indicada como ideal em diversos fruns nacionais e internacionais pois tratase de uma iniciativa pioneira que ambiciona a harmonizao de vrias metodologias de inventrios porm com um espectro especfico para municpios criando assim bases comparativas para a apresentao de resultados,Unknown,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,0,0,0,0,0,0,33771.55,6469.04,0,40240.59,This is our first year of calculation,,0,77308,2019,469838 230307,20200501T035757217,0,33771.55,6469.04,0,-46.9838,-23.0307,-70.0145
47,2019,73787,Tapalqu,Tapalqu,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,446872.6,0,41691,0,676.92,0,0,0,0,489240.52,Do not know,Lack of documentation,0,9178,21,,20200501T035757217,446872.6,0,41691,676.92,,,
